"filename", "language", "Markdown", "Dart", "YAML", "JSON", "C++", "XML", "Swift", "HTML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\screen_args\new_post_screen_args.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\screen_args\post_screen_args.dart", "Dart", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\screen_args\profile_screen_args.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\screens\user_listings_screen.dart", "Dart", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 165
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\AppDrawer.dart", "Dart", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 93
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\auth_form.dart", "Dart", 0, 249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 258
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\gradient_button.dart", "Dart", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\gradient_icons.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\job_item.dart", "Dart", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\past_jobs_item.dart", "Dart", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 76
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\post_form.dart", "Dart", 0, 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 486
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\post_item.dart", "Dart", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 140
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\rating_item.dart", "Dart", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 92
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\rating_promt.dart", "Dart", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 123
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\request_item.dart", "Dart", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 137
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\lib\widgets\show_rating.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\pubspec.yaml", "YAML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 58, 16, 100
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 18, 7, 105
"c:\Users\itayk\Desktop\flutter stuff\projects\Petkeepergit\petkeeper\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 13, 4180, 29, 219, 1, 124, 12, 80, 8, 92, 161, 313, 5232
